title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,weight_lbs,reps,distance_km,distance_miles,duration_seconds,rpe
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bent Over Row (Barbell),,,2,normal,50.00,110.23,7,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Pull Up,,,0,normal,,,8,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Pull Up,,,1,normal,,,5,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Pull Up,,,2,normal,,,9,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bicep Curl (Dumbbell),,,0,normal,12.50,27.56,12,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bicep Curl (Dumbbell),,,1,normal,10.00,22.05,8,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Bicep Curl (Dumbbell),,,2,normal,12.50,27.56,12,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Face Pull (Cable),,,0,normal,15.00,33.07,15,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Face Pull (Cable),,,1,normal,15.00,33.07,14,,,,
Pull Day,"19 Feb 2026, 07:18","19 Feb 2026, 08:40",,Face Pull (Cable),,,2,normal,15.00,33.07,15,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Squat (Barbell),,,0,warmup,50.00,110.23,6,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Squat (Barbell),,,1,warmup,50.00,110.23,7,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Squat (Barbell),,,2,normal,92.50,203.93,6,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Squat (Barbell),,,3,normal,92.50,203.93,4,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Squat (Barbell),,,4,normal,90.00,198.42,8,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Romanian Deadlift (Barbell),,,0,normal,72.50,159.83,6,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Romanian Deadlift (Barbell),,,1,normal,70.00,154.32,7,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Romanian Deadlift (Barbell),,,2,normal,72.50,159.83,7,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Press,,,0,normal,122.50,270.07,10,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Press,,,1,normal,122.50,270.07,12,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Press,,,2,normal,122.50,270.07,13,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Curl (Lying),,,0,normal,25.00,55.12,12,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Curl (Lying),,,1,normal,25.00,55.12,14,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Leg Curl (Lying),,,2,normal,22.50,49.60,14,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Calf Raise (Standing),,,0,normal,60.00,132.28,13,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Calf Raise (Standing),,,1,normal,60.00,132.28,14,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Calf Raise (Standing),,,2,normal,60.00,132.28,13,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Plank,,,0,normal,,,3,,,,
Leg Day,"23 Feb 2026, 08:22","23 Feb 2026, 09:51",,Plank,,,1,normal,,,3,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Bench Press (Barbell),,,0,warmup,37.50,82.67,7,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Bench Press (Barbell),,,1,normal,72.50,159.83,7,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Bench Press (Barbell),,,2,normal,72.50,159.83,7,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Bench Press (Barbell),,,3,normal,72.50,159.83,8,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Overhead Press (Barbell),,,0,warmup,25.00,55.12,9,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Overhead Press (Barbell),,,1,normal,45.00,99.21,4,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Overhead Press (Barbell),,,2,normal,42.50,93.70,7,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Overhead Press (Barbell),,,3,normal,45.00,99.21,4,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Incline Bench Press (Dumbbell),,,0,normal,20.00,44.09,9,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Incline Bench Press (Dumbbell),,,1,normal,22.50,49.60,10,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Incline Bench Press (Dumbbell),,,2,normal,22.50,49.60,11,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Lateral Raise (Dumbbell),,,0,normal,10.00,22.05,13,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Lateral Raise (Dumbbell),,,1,normal,10.00,22.05,10,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Lateral Raise (Dumbbell),,,2,normal,7.50,16.53,11,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Triceps Pushdown,,,0,normal,25.00,55.12,12,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Triceps Pushdown,,,1,normal,25.00,55.12,11,,,,
Push Day,"27 Feb 2026, 08:22","27 Feb 2026, 09:44",,Triceps Pushdown,,,2,normal,25.00,55.12,10,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Deadlift (Barbell),,,0,warmup,60.00,132.28,7,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Deadlift (Barbell),,,1,warmup,60.00,132.28,7,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Deadlift (Barbell),,,2,normal,115.00,253.53,3,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Deadlift (Barbell),,,3,normal,115.00,253.53,4,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Deadlift (Barbell),,,4,normal,115.00,253.53,3,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Lat Pulldown (Cable),,,0,normal,62.50,137.79,12,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Lat Pulldown (Cable),,,1,normal,62.50,137.79,11,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Lat Pulldown (Cable),,,2,normal,62.50,137.79,9,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Lat Pulldown (Cable),,,3,normal,62.50,137.79,9,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bent Over Row (Barbell),,,0,normal,52.50,115.74,7,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bent Over Row (Barbell),,,1,normal,52.50,115.74,6,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bent Over Row (Barbell),,,2,normal,52.50,115.74,8,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Pull Up,,,0,normal,,,8,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Pull Up,,,1,normal,,,6,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Pull Up,,,2,normal,,,7,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bicep Curl (Dumbbell),,,0,normal,12.50,27.56,8,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bicep Curl (Dumbbell),,,1,normal,12.50,27.56,8,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Bicep Curl (Dumbbell),,,2,normal,12.50,27.56,9,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Face Pull (Cable),,,0,normal,15.00,33.07,16,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Face Pull (Cable),,,1,normal,15.00,33.07,14,,,,
Pull Day,"02 Mar 2026, 18:03","02 Mar 2026, 19:03",,Face Pull (Cable),,,2,normal,15.00,33.07,14,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Squat (Barbell),,,0,warmup,50.00,110.23,8,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Squat (Barbell),,,1,warmup,50.00,110.23,7,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Squat (Barbell),,,2,normal,95.00,209.44,4,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Squat (Barbell),,,3,normal,95.00,209.44,6,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Squat (Barbell),,,4,normal,95.00,209.44,8,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Romanian Deadlift (Barbell),,,0,normal,75.00,165.35,10,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Romanian Deadlift (Barbell),,,1,normal,75.00,165.35,6,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Romanian Deadlift (Barbell),,,2,normal,72.50,159.83,8,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Press,,,0,normal,127.50,281.09,12,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Press,,,1,normal,125.00,275.58,14,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Press,,,2,normal,127.50,281.09,12,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Curl (Lying),,,0,normal,27.50,60.63,14,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Curl (Lying),,,1,normal,25.00,55.12,14,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Leg Curl (Lying),,,2,normal,27.50,60.63,10,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Calf Raise (Standing),,,0,normal,62.50,137.79,13,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Calf Raise (Standing),,,1,normal,62.50,137.79,17,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Calf Raise (Standing),,,2,normal,62.50,137.79,14,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Plank,,,0,normal,,,3,,,,
Leg Day,"10 Mar 2026, 07:17","10 Mar 2026, 08:30",,Plank,,,1,normal,,,3,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Bench Press (Barbell),,,0,warmup,37.50,82.67,5,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Bench Press (Barbell),,,1,normal,75.00,165.35,8,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Bench Press (Barbell),,,2,normal,75.00,165.35,6,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Bench Press (Barbell),,,3,normal,75.00,165.35,8,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Overhead Press (Barbell),,,0,warmup,25.00,55.12,9,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Overhead Press (Barbell),,,1,normal,45.00,99.21,7,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Overhead Press (Barbell),,,2,normal,45.00,99.21,6,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Overhead Press (Barbell),,,3,normal,45.00,99.21,5,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Incline Bench Press (Dumbbell),,,0,normal,25.00,55.12,11,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Incline Bench Press (Dumbbell),,,1,normal,25.00,55.12,9,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Incline Bench Press (Dumbbell),,,2,normal,25.00,55.12,10,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Lateral Raise (Dumbbell),,,0,normal,10.00,22.05,10,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Lateral Raise (Dumbbell),,,1,normal,10.00,22.05,11,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Lateral Raise (Dumbbell),,,2,normal,10.00,22.05,14,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Triceps Pushdown,,,0,normal,27.50,60.63,12,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Triceps Pushdown,,,1,normal,27.50,60.63,13,,,,
Push Day,"11 Mar 2026, 18:18","11 Mar 2026, 19:25",,Triceps Pushdown,,,2,normal,27.50,60.63,14,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Deadlift (Barbell),,,0,warmup,60.00,132.28,8,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Deadlift (Barbell),,,1,warmup,60.00,132.28,10,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Deadlift (Barbell),,,2,normal,117.50,259.04,3,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Deadlift (Barbell),,,3,normal,117.50,259.04,7,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Deadlift (Barbell),,,4,normal,117.50,259.04,4,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Lat Pulldown (Cable),,,0,normal,62.50,137.79,9,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Lat Pulldown (Cable),,,1,normal,62.50,137.79,9,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Lat Pulldown (Cable),,,2,normal,60.00,132.28,9,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Lat Pulldown (Cable),,,3,normal,62.50,137.79,12,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bent Over Row (Barbell),,,0,normal,52.50,115.74,6,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bent Over Row (Barbell),,,1,normal,52.50,115.74,10,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bent Over Row (Barbell),,,2,normal,52.50,115.74,9,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Pull Up,,,0,normal,,,8,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Pull Up,,,1,normal,,,8,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Pull Up,,,2,normal,,,6,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bicep Curl (Dumbbell),,,0,normal,10.00,22.05,8,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bicep Curl (Dumbbell),,,1,normal,12.50,27.56,8,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Bicep Curl (Dumbbell),,,2,normal,12.50,27.56,9,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Face Pull (Cable),,,0,normal,15.00,33.07,17,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Face Pull (Cable),,,1,normal,15.00,33.07,17,,,,
Pull Day,"12 Mar 2026, 07:21","12 Mar 2026, 08:30",,Face Pull (Cable),,,2,normal,15.00,33.07,13,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Squat (Barbell),,,0,warmup,50.00,110.23,8,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Squat (Barbell),,,1,warmup,50.00,110.23,6,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Squat (Barbell),,,2,normal,95.00,209.44,8,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Squat (Barbell),,,3,normal,95.00,209.44,8,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Squat (Barbell),,,4,normal,95.00,209.44,7,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Romanian Deadlift (Barbell),,,0,normal,75.00,165.35,10,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Romanian Deadlift (Barbell),,,1,normal,75.00,165.35,10,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Romanian Deadlift (Barbell),,,2,normal,75.00,165.35,7,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Press,,,0,normal,130.00,286.60,13,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Press,,,1,normal,130.00,286.60,11,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Press,,,2,normal,130.00,286.60,12,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Curl (Lying),,,0,normal,27.50,60.63,14,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Curl (Lying),,,1,normal,27.50,60.63,11,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Leg Curl (Lying),,,2,normal,27.50,60.63,10,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Calf Raise (Standing),,,0,normal,62.50,137.79,14,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Calf Raise (Standing),,,1,normal,62.50,137.79,15,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Calf Raise (Standing),,,2,normal,62.50,137.79,13,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Plank,,,0,normal,,,3,,,,
Leg Day,"13 Mar 2026, 07:27","13 Mar 2026, 08:36",,Plank,,,1,normal,,,3,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Bench Press (Barbell),,,0,warmup,37.50,82.67,6,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Bench Press (Barbell),,,1,normal,75.00,165.35,7,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Bench Press (Barbell),,,2,normal,75.00,165.35,6,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Bench Press (Barbell),,,3,normal,75.00,165.35,8,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Overhead Press (Barbell),,,0,warmup,25.00,55.12,9,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Overhead Press (Barbell),,,1,normal,45.00,99.21,4,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Overhead Press (Barbell),,,2,normal,45.00,99.21,7,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Overhead Press (Barbell),,,3,normal,45.00,99.21,8,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Incline Bench Press (Dumbbell),,,0,normal,25.00,55.12,8,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Incline Bench Press (Dumbbell),,,1,normal,25.00,55.12,12,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Incline Bench Press (Dumbbell),,,2,normal,25.00,55.12,8,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Lateral Raise (Dumbbell),,,0,normal,10.00,22.05,12,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Lateral Raise (Dumbbell),,,1,normal,10.00,22.05,13,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Lateral Raise (Dumbbell),,,2,normal,10.00,22.05,14,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Triceps Pushdown,,,0,normal,27.50,60.63,11,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Triceps Pushdown,,,1,normal,27.50,60.63,12,,,,
Push Day,"14 Mar 2026, 19:08","14 Mar 2026, 20:32",,Triceps Pushdown,,,2,normal,27.50,60.63,10,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Deadlift (Barbell),,,0,warmup,60.00,132.28,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Deadlift (Barbell),,,1,warmup,60.00,132.28,7,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Deadlift (Barbell),,,2,normal,117.50,259.04,6,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Deadlift (Barbell),,,3,normal,117.50,259.04,6,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Deadlift (Barbell),,,4,normal,117.50,259.04,7,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Lat Pulldown (Cable),,,0,normal,65.00,143.30,11,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Lat Pulldown (Cable),,,1,normal,65.00,143.30,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Lat Pulldown (Cable),,,2,normal,62.50,137.79,11,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Lat Pulldown (Cable),,,3,normal,62.50,137.79,11,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Bent Over Row (Barbell),,,0,normal,52.50,115.74,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Bent Over Row (Barbell),,,1,normal,52.50,115.74,7,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Bent Over Row (Barbell),,,2,normal,52.50,115.74,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Pull Up,,,0,normal,,,9,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Pull Up,,,1,normal,,,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Pull Up,,,2,normal,,,9,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Bicep Curl (Dumbbell),,,0,normal,12.50,27.56,8,,,,
Pull Day,"15 Mar 2026, 18:05","15 Mar 2026, 19:23",,Bicep Curl (Dumbbell),,,1,normal,12.50,27.56,12,,,,
